Id;Hersteller;Bezeichnung;Notizblockphoto;AnzPhotos;Ab Mission;Ab Tag;verfügbar ab;Spann- weite (m);Länge (m);Höhe (m);Max. Start- gewicht kg;Passa- giere;Vreise kph;Reichweite km;Triebwerke;Schub (lb);Besat- zung;Service ;Fuel max. (l);Verbrauch (l/h);Neupreis;Wartungs- faktor;Bemerkung 
137;Tupolew;Tu-444;999XL;1;0;145;2018;16.5;36;6.51;41000;10;2650;7500;2 Rolls Royce Spey Mk.511-8;95000;2;1;30000;8600;45000000;1.1;Tupolew Tu-444 to projekt naddźwiękowego odrzutowca biznesowego rosyjskiej firmy Tupolew – dalsze losy projektu są niepewne.
138;Tupolew;Tu-144;999XL;1;0;0;1968;28;66;12;207609;150;2500;6500;2 Rolls Royce Spey Mk.511-8;98500;2;3;14000;5000;50000000;1;Tupolew Tu-144 był pierwszym naddźwiękowym samolotem pasażerskim na świecie, opracowanym przez biuro konstrukcyjne Tupolewa.
142;Suchoi;SSJ 100-110;999XL;1;0;130;2008;27.8;32.8;10.28;39385;110;880;4578;Dwa PowerJet SaM146-silniki odrzutowe;25120;3;2;21000;9500;19000000;1.1;Suchoj Superjet 100 to dwusilnikowy dolnopłatowy samolot regionalny rosyjskiej produkcji, tworzony z udziałem zachodnich partnerów.
143;Suchoi;KR-860;999XL;1;0;165;2017;88.4;80;16.8;650000;1000;2600;15000;General Electric CF6-80E1A4B;72000;4;5;360000;13000;230000000;1.1;Suchoj KR-860 ma pojawić się około 2017 roku, dotąd powstał tylko prototyp – większy od A380, pomieści do 1000 pasażerów i osiąga prędkości zbliżone do Tu-144.
144;Mitsubishi Aircraft Corporation;MRJ90;999XL;1;0;155;2017;30.9;35.8;10.5;39600;96;960;3310;Dwa Pratt & Whitney PW1215G;17000;3;2;35000;2500;9000000;1;Mitsubishi Regional Jet (MRJ) to japoński dwusilnikowy samolot regionalny dla 70–96 pasażerów produkcji Mitsubishi Aircraft Corporation.
134;Lockheed Cooperation;C-141;999XL;1;0;170;1963;48.06;51;12;147000;425;919;6566;Cztery Pratt & Whitney TF33-P-7;25800;2;0;45400;3890;150000000;1.1;Lockheed C-141 Starlifter to amerykański wojskowy samolot transportowy używany od lat 60. do 2005 roku.
145;Iljuschin;Il-96-400M;999XL;1;0;0;1988;60.1;63.94;15.72;265000;436;860;5600;4 PS-90A;35120;3;4;25600;6800;60000000;1.2;Iljuszyn Il-96 to czterosilnikowy szerokokadłubowy samolot pasażerski konkurujący z Airbusami A330/A340 i Boeingami 767/777.
146;Iljuschin;Il-86;999XL;1;0;0;1976;48.06;59.94;15.81;254800;350;950;5000;4 Kusnezow NK-86;28900;5;3;19850;8400;52000000;1.1;Iljuszyn Il-86 był pierwszym szerokokadłubowym samolotem pasażerskim produkcji radzieckiej.
141;Hughes-Kaiser;H-4 Hercules;999XL;1;0;175;1947;97.54;66.74;25.15;181000;750;320;4827;Czteropłatowe, regulowane śmigło Hamilton Standard;35000;18;11;65700;9200;450000000;1.1;Hughes H-4 Hercules to ogromna łódź latająca o największej rozpiętości skrzydeł w historii, opracowana przez Hughes-Kaiser.
147;Fokker;Fokker 100;999XL;1;0;0;1987;28;35;8;44450;107;755;4300;2 Rolls Royce Turbofan CFM56;18000;2;3;115000;12000;26000000;1;Fokker 100 to holenderski dwusilnikowy samolot pasażerski o pojemności 100 miejsc.
140;Embraer;KC-390;999XL;1;0;160;2015;33.94;33;11.3;19000;210;860;6200;Dwa V2500-E5-Turbofany;12000;2;1;56000;5600;110000000;1.1;Embraer KC-390 to brazylijski wojskowy średni samolot transportowy, obecnie w zaawansowanej fazie rozwoju.
128;Boeing;787-10;999XL;1;0;35;2011;50.29;53.04;16;263623;323;850;13000;3 Rolls Royce RB211-524B;22700;4;0;80000;9100;56000000;2.4;Boeing 787-10X to wydłużona wersja Dreamlinera dla 300–350 pasażerów, konkurująca z A350-900 i 777-200ER.
148;Boeing;777-300ER;999XL;1;0;70;1998;60.9;73.9;18;486500;550;911;8650;2 GE90-85B;25000;3;2;25000;11170;71000000;1.1;Boeing rozwija nowoczesnego, dwusilnikowego dalekodystansowego Jet-a jako silnego konkurenta dla Airbusa.
149;Boeing;767-400ER ;999XL;1;0;0;1981;51.9;61.4;16.8;204120;375;851;10454;General Electric CF6-80C2B8F;28300;3;4;45600;13000;74000000;1.1;Boeing 767-400ER to dwusilnikowy szerokokadłubowy samolot dalekiego zasięgu – pierwszy taki model Boeinga z dwoma silnikami.
150;Boeing;747-8;999XL;1;0;0;2010;68.5;76.3;19.4;447696;605;917;14800;4 GE Aviation GEnx-2B67;48300;2;3;25000;15000;96000000;1.3;Boeing 747-8, najnowsza wersja Jumbo Jeta, przewozi do 467 pasażerów w układzie trzech klas – pierwszy lot odbył się 8 lutego 2010.
133;ATR;72-600 ;999XL;1;0;55;1989;16.94;32.8;5.64;24250;74;511;5830;Dwa Pratt & Whitney J58 silniki odrzutowe z dopalaczem;15130;2;0;36287;4570;15000000;1.1;ATR 72 to turbośmigłowy samolot regionalny francusko-włoskiej produkcji, wykorzystywany do przewozów pasażerskich i towarowych na krótkich trasach.
151;Antonow;An-225;999XL;1;0;110;1988;88.4;85.3;18.2;600000;2500;850;15400;Sześć ZMKB Lotarjow D-18T-silników odrzutowych;62985;7;1;64600;15000;240000000;1.5;Antonow An-225 to sześciosilnikowy radziecki samolot transportowy i największy samolot na świecie w aktywnej służbie.
130;Airbus Industrie;A400M;999XL;1;0;45;2009;42;45.8;14.79;141000;505;750;17400;4 Pratt & Whitney JT3D3;1165;3;0;35925;9000;220000000;1.2;Airbus A400M to wojskowy samolot transportowy z czterema turbośmigłami, o dużej ładowności i zasięgu.
131;Airbus Industrie;A 380-800;999XL;1;0;30;2008;79.9;72.3;24;590000;853;958;15200;4 General Electric TF-GE 1;40000;2;4;320000;14000;140000000;1;Airbus A380 to największy cywilny samolot pasażerski świata – czterosilnikowy dolnopłat z dwoma pełnymi pokładami.
152;Airbus Industrie;A 350-900;999XL;1;0;0;2016;64.2;65.2;17.3;268000;300;950;13890;2 Rolls Royce;33000;2;5;35400;3100;68000000;1;Airbus A350 to rozwijany dwusilnikowy szerokokadłubowy samolot dalekiego zasięgu (do 15 860 km), projekt oficjalnie ruszył 1 grudnia 2006.
136;Airbus Industrie;A 320-100;999XL;1;0;3;1987;34.1;37.57;11.76;78000;180;891;6150;2 CFMI CFM56-5A;32000;2;2;40500;2700;26000000;1.2;"Podstawowa wersja Airbusa A320 mieści do 180 pasażerów, typowo 150 w układzie dwuklasowym; w ładowni zmieści 7 kontenerów AKH."
132;Airbus Industrie;A 310-200;999XL;1;0;25;1983;43.9;46.66;15.8;154000;240;901;5560;CF6-80C2A2;53200;2;3;55200;9850;32000000;1.5;Airbus A310-200 to dwusilnikowy szerokokadłubowy samolot pasażerski, mieszczący do 240 pasażerów.
153;Lockheed Cooperation;SR-71;999XL;1;0;55;1964;16.94;32.8;5.64;77112;30;3219;4830;Dwa Pratt & Whitney J58 silniki odrzutowe z dopalaczem;15130;2;0;36287;4570;300000000;1.1;Lockheed SR-71 to amerykański naddźwiękowy samolot rozpoznawczy Mach 3, używany w latach 1966–1998.
154;Boeing;C-17 Globemaster III;999XL;1;0;35;1991;50.29;53.04;16;263623;800;818;14500;3 Rolls Royce RB211-524B;22700;4;0;80000;9100;210000000;1.2;Boeing C-17 Globemaster III to czterosilnikowy amerykański wojskowy transportowiec do przewozu dużych ładunków i wojsk – opracowany przez McDonnell Douglas, produkowany przez Boeinga.
