Ebene;Von;Nach;Miete;Beliebtheitsfaktor
1;Adelajda;Auckland;92200;0.2
1;Adelajda;Denpasar;183500;0.312
1;Adelajda;Doha;558900;0.177
1;Adelajda;Dubaj;496900;0.113
1;Adelajda;Kanton;165400;0.125
1;Adelajda;Hongkong;210100;0.085
1;Adelajda;Singapur;299300;0.159
1;Algier;Abidżan;37600;0.063
1;Algier;Amman;51000;0.054
1;Algier;Bamako;40600;0.144
1;Algier;Barcelona;46900;0.147
1;Algier;Bordeaux;10800;0.053
1;Algier;Bruksela;18100;0.022
1;Algier;Casablanca;74900;0.218
1;Algier;Dakar;57100;0.113
1;Algier;Doha;206600;0.066
1;Algier;Dubaj;451400;0.094
1;Algier;Frankfurt;69000;0.055
1;Algier;Genewa;16100;0.035
1;Algier;Stambuł;351400;0.215
1;Algier;Londyn;34500;0.023
1;Algier;Madryt;24300;0.051
1;Algier;Mediolan;9500;0.018
1;Algier;Montreal;253900;0.11
1;Algier;Nicea;10700;0.04
1;Algier;Nouakchott;27800;0.153
1;Algier;Paryż;360100;0.318
1;Algier;Rzym;45100;0.081
1;Algier;Tunis;54200;0.337
1;Ałmaty;Antalya;73800;0.07
1;Ałmaty;Aszchabad;19200;0.162
1;Ałmaty;Bangkok;89300;0.044
1;Ałmaty;Delhi;51400;0.108
1;Ałmaty;Dubaj;170600;0.093
1;Ałmaty;Duszanbe;19300;0.279
1;Ałmaty;Hongkong;57900;0.024
1;Ałmaty;Stambuł;337900;0.173
1;Ałmaty;Kijów;162100;0.205
1;Ałmaty;Kuala;74200;0.031
1;Ałmaty;Mińsk;68000;0.126
1;Ałmaty;Pekin;98400;0.08
1;Ałmaty;Seul;207400;0.087
1;Ałmaty;Petersburg;91200;0.144
1;Ałmaty;Taszkent;42200;0.474
1;Ałmaty;Tbilisi;42700;0.12
1;Amman;Abu;199800;0.175
1;Amman;Amsterdam;55300;0.016
1;Amman;Ankara;37600;0.195
1;Amman;Antalya;32300;0.09
1;Amman;Bagdad;71200;0.376
1;Amman;Bahrajn;77100;0.122
1;Amman;Bangkok;155700;0.025
1;Amman;Barcelona;28900;0.012
1;Amman;Bejrut;27000;0.307
1;Amman;Bruksela;30100;0.014
1;Amman;Bukareszt;33200;0.046
1;Amman;Chicago;416200;0.084
1;Amman;Doha;313300;0.228
1;Amman;Dubaj;633200;0.268
1;Amman;Frankfurt;155700;0.051
1;Amman;Stambuł;202400;0.187
1;Amman;Kopenhaga;47400;0.022
1;Amman;Kraków;22800;0.028
1;Amman;Kuwejt;164400;0.269
1;Amman;Londyn;253200;0.062
1;Amman;Madryt;59300;0.02
1;Amman;Montreal;80700;0.02
1;Amman;Maskat;85500;0.072
1;Amman;Nowy;272900;0.038
1;Amman;Praga;25000;0.018
1;Amman;Rijad;150800;0.262
1;Amman;Rzym;73200;0.043
1;Amman;Tel;6900;0.107
1;Amman;Trypolis;43000;0.168
1;Amman;Tunis;33200;0.043
1;Amman;Wilno;25000;0.036
1;Amman;Wiedeń;80900;0.047
1;Amsterdam;Abu;473600;0.06
1;Amsterdam;Ateny;279200;0.094
1;Amsterdam;Bahrajn;93500;0.018
1;Amsterdam;Bangkok;869800;0.039
1;Amsterdam;Barcelona;461000;0.185
1;Amsterdam;Bejrut;41000;0.013
1;Amsterdam;Belgrad;74300;0.065
1;Amsterdam;Bogota;106300;0.011
1;Amsterdam;Bordeaux;76000;0.118
1;Amsterdam;Boston;884700;0.159
1;Amsterdam;Bruksela;13500;0.05
1;Amsterdam;Budapeszt;141200;0.094
1;Amsterdam;Buenos;466000;0.036
1;Amsterdam;Bukareszt;211600;0.103
1;Amsterdam;Calgary;376000;0.065
1;Amsterdam;Cancún;80300;0.007
1;Amsterdam;Casablanca;94900;0.038
1;Amsterdam;Chengdu;206000;0.03
1;Amsterdam;Chicago;513400;0.059
1;Amsterdam;Dar;152000;0.05
1;Amsterdam;Denpasar;636700;0.043
1;Amsterdam;Doha;310000;0.029
1;Amsterdam;Dubaj;1446900;0.09
1;Amsterdam;Dublin;253000;0.181
1;Amsterdam;Edmonton;160900;0.056
1;Amsterdam;Frankfurt;98500;0.101
1;Amsterdam;Funchal;41600;0.038
1;Amsterdam;Genewa;135300;0.143
1;Amsterdam;Kanton;443300;0.033
1;Amsterdam;Hamburg;55500;0.128
1;Amsterdam;Hawana;192900;0.03
1;Amsterdam;Helsinki;291600;0.134
1;Amsterdam;Heraklion;84900;0.049
1;Amsterdam;Hongkong;1012600;0.039
1;Amsterdam;Houston;771500;0.075
1;Amsterdam;Stambuł;587600;0.112
1;Amsterdam;Dżakarta;1194200;0.077
1;Amsterdam;Johannesburg;546300;0.054
1;Amsterdam;Kair;91900;0.02
1;Amsterdam;Kampala;102600;0.036
1;Amsterdam;Republika;58000;0.037
1;Amsterdam;Kapsztad;619200;0.119
1;Amsterdam;Kijów;114500;0.059
1;Amsterdam;Kigali;104400;0.036
1;Amsterdam;Kopenhaga;207800;0.185
1;Amsterdam;Kraków;63800;0.067
1;Amsterdam;Kuala;638200;0.028
1;Amsterdam;Kuwejt;84000;0.014
1;Amsterdam;Lagos;251100;0.081
1;Amsterdam;Larnaka;40800;0.016
1;Amsterdam;Las;76100;0.016
1;Amsterdam;Lima;730600;0.062
1;Amsterdam;Lizbona;455600;0.145
1;Amsterdam;Lublana;26000;0.06
1;Amsterdam;Londyn;186700;0.171
1;Amsterdam;Los;1093200;0.069
1;Amsterdam;Luanda;113900;0.036
1;Amsterdam;Luksemburg;16500;0.072
1;Amsterdam;Madryt;444800;0.141
1;Amsterdam;Mediolan;202600;0.16
1;Amsterdam;Malta;52200;0.03
1;Amsterdam;Manchester;138500;0.172
1;Amsterdam;Manila;650800;0.038
1;Amsterdam;Mauritius;130400;0.021
1;Amsterdam;Meksyk;845900;0.064
1;Amsterdam;Miami;123900;0.01
1;Amsterdam;Mińsk;30400;0.029
1;Amsterdam;Montreal;206000;0.031
1;Amsterdam;Moskwa;390800;0.104
1;Amsterdam;Mumbaj;342700;0.043
1;Amsterdam;Monachium;195500;0.14
1;Amsterdam;Nairobi;725100;0.121
1;Amsterdam;Nicea;127500;0.126
1;Amsterdam;Oranjestad;477800;0.079
1;Amsterdam;Orlando;468400;0.071
1;Amsterdam;Osaka;488900;0.032
1;Amsterdam;Oslo;200400;0.153
1;Amsterdam;Palma;88000;0.043
1;Amsterdam;Panama;537600;0.046
1;Amsterdam;Paramaribo;775600;0.385
1;Amsterdam;Paryż;135200;0.125
1;Amsterdam;Pekin;842600;0.06
1;Amsterdam;Filadelfia;388300;0.082
1;Amsterdam;Porto;147100;0.088
1;Amsterdam;Praga;148500;0.155
1;Amsterdam;Quito;209900;0.043
1;Amsterdam;Reykjavík;157100;0.089
1;Amsterdam;Ryga;58000;0.048
1;Amsterdam;Rio;479400;0.074
1;Amsterdam;Rzym;379200;0.154
1;Amsterdam;San;1158300;0.1
1;Amsterdam;Santiago;477000;0.036
1;Amsterdam;São;635900;0.052
1;Amsterdam;Seul;676200;0.029
1;Amsterdam;Szanghaj;1076800;0.059
1;Amsterdam;Singapur;912500;0.032
1;Amsterdam;Sofia;60900;0.042
1;Amsterdam;Sztokholm;284000;0.16
1;Amsterdam;Tajpej;1127500;0.054
1;Amsterdam;Tallinn;35400;0.042
1;Amsterdam;Teheran;47100;0.013
1;Amsterdam;Tirana;16800;0.017
1;Amsterdam;Tokio;707200;0.038
1;Amsterdam;Vancouver;412500;0.042
1;Amsterdam;Wenecja;105400;0.108
1;Amsterdam;Wilno;31200;0.033
1;Amsterdam;Waszyngton;541800;0.085
1;Amsterdam;Wiedeń;259700;0.145
1;Amsterdam;Willemstad;987700;0.32
1;Amsterdam;Windhuk;140300;0.048
1;Amsterdam;Zagrzeb;47900;0.075
1;Amsterdam;Zurych;169200;0.149
1;Ankara;Baku;47500;0.247
1;Ankara;Frankfurt;57200;0.05
1;Ankara;Kabul;33500;0.126
1;Ankara;Kijów;44400;0.186
1;Ankara;Monachium;82400;0.105
1;Ankara;Teheran;62200;0.214
1;Ankara;Wiedeń;33400;0.058
1;Antalya;Amsterdam;135300;0.04
1;Antalya;Astana;55400;0.072
1;Antalya;Bagdad;26000;0.068
1;Antalya;Baku;59600;0.108
1;Antalya;Bejrut;12500;0.049
1;Antalya;Bratysława;46600;0.129
1;Antalya;Bruksela;144300;0.069
1;Antalya;Frankfurt;300300;0.104
1;Antalya;Glasgow;91900;0.082
1;Antalya;Hamburg;284300;0.215
1;Antalya;Helsinki;40900;0.023
1;Antalya;Kopenhaga;73100;0.035
1;Antalya;Krasnojarsk;58000;0.116
1;Antalya;Luksemburg;23400;0.028
1;Antalya;Moskwa;424800;0.236
1;Antalya;Monachium;273700;0.138
1;Antalya;Paryż;33800;0.01
1;Antalya;Praga;102300;0.081
1;Antalya;Petersburg;188200;0.187
1;Antalya;Teheran;37700;0.049
1;Antalya;Tel;83100;0.172
1;Antalya;Warszawa;61900;0.053
1;Antalya;Wiedeń;104900;0.07
1;Antalya;Zurych;171000;0.089
1;Aszchabad;Baku;7900;0.121
1;Aszchabad;Bangkok;70400;0.047
1;Aszchabad;Delhi;23700;0.068
1;Aszchabad;Dubaj;36300;0.065
1;Aszchabad;Frankfurt;58800;0.043
1;Aszchabad;Stambuł;218200;0.29
1;Aszchabad;Pekin;48600;0.044
1;Aszchabad;Petersburg;35600;0.109
1;Asmara;Dżudda;6100;0.06
1;Asmara;Dubaj;48900;0.089
1;Asmara;Stambuł;37800;0.061
1;Asmara;Chartum;10700;0.315
1;Astana;Mińsk;62800;0.183
1;Astana;Urumczi;25200;0.32
1;Astana;Warszawa;53000;0.069
1;Asunción;Buenos;84600;0.492
1;Asunción;Lima;104000;0.258
1;Asunción;Panama;233100;0.275
1;Asunción;Santiago;46700;0.189
1;Ateny;Abu;145000;0.058
1;Ateny;Amman;29300;0.044
1;Ateny;Bahrajn;47800;0.031
1;Ateny;Barcelona;231000;0.12
1;Ateny;Bejrut;52500;0.093
1;Ateny;Belgrad;43000;0.128
1;Ateny;Bratysława;11700;0.04
1;Ateny;Bruksela;159100;0.088
1;Ateny;Budapeszt;59700;0.082
1;Ateny;Bukareszt;72200;0.164
1;Ateny;Chicago;290600;0.05
1;Ateny;Doha;346300;0.107
1;Ateny;Dżudda;26900;0.014
1;Ateny;Dubaj;225600;0.044
1;Ateny;Dublin;75600;0.028
1;Ateny;Frankfurt;304800;0.125
1;Ateny;Genewa;102800;0.085
1;Ateny;Hamburg;42400;0.036
1;Ateny;Helsinki;43100;0.024
1;Ateny;Stambuł;122300;0.19
1;Ateny;Kair;93600;0.12
1;Ateny;Kijów;59100;0.074
1;Ateny;Kopenhaga;128400;0.067
1;Ateny;Kraków;18000;0.029
1;Ateny;Larnaka;278000;0.695
1;Ateny;Lizbona;76200;0.031
1;Ateny;Londyn;526100;0.146
1;Ateny;Mediolan;124100;0.102
1;Ateny;Malta;14500;0.038
1;Ateny;Manchester;74600;0.034
1;Ateny;Montreal;283000;0.061
1;Ateny;Moskwa;154400;0.078
1;Ateny;Monachium;217000;0.135
1;Ateny;Maskat;36500;0.015
1;Ateny;Nowy;770200;0.093
1;Ateny;Nicea;18500;0.023
1;Ateny;Oslo;38100;0.021
1;Ateny;Paryż;377000;0.131
1;Ateny;Pekin;144300;0.021
1;Ateny;Filadelfia;334300;0.104
1;Ateny;Praga;45700;0.043
1;Ateny;Rzym;190000;0.183
1;Ateny;Singapur;234700;0.019
1;Ateny;Sofia;37200;0.168
1;Ateny;Tbilisi;26400;0.044
1;Ateny;Tel;177100;0.19
1;Ateny;Tirana;18500;0.116
1;Ateny;Toronto;340700;0.044
1;Ateny;Wenecja;33400;0.05
1;Ateny;Wilno;19300;0.03
1;Ateny;Warszawa;44900;0.042
1;Ateny;Wiedeń;110700;0.092
1;Ateny;Zurych;233100;0.15
1;Atlanta;Amsterdam;2102700;0.213
1;Atlanta;Barcelona;374100;0.049
1;Atlanta;Belize;92500;0.254
1;Atlanta;Bermudy;68700;0.195
1;Atlanta;Bogota;225700;0.118
1;Atlanta;Bruksela;407600;0.065
1;Atlanta;Buenos;697300;0.148
1;Atlanta;Calgary;69200;0.054
1;Atlanta;Doha;618500;0.046
1;Atlanta;Dublin;310800;0.051
1;Atlanta;Frankfurt;673500;0.066
1;Atlanta;Hawana;30100;0.059
1;Atlanta;Stambuł;295700;0.026
1;Atlanta;Johannesburg;1275200;0.162
1;Atlanta;Lima;410100;0.138
1;Atlanta;Madryt;481400;0.062
1;Atlanta;Mediolan;200600;0.032
1;Atlanta;Manchester;370600;0.066
1;Atlanta;Meksyk;324300;0.204
1;Atlanta;Montreal;178400;0.179
1;Atlanta;Nassau;218100;0.553
1;Atlanta;Oranjestad;223900;0.204
1;Atlanta;Panama;146700;0.077
1;Atlanta;Port-au-Prince;78000;0.179
1;Atlanta;Quito;248000;0.247
1;Atlanta;Rio;596600;0.223
1;Atlanta;Rzym;920000;0.116
1;Atlanta;San;344200;0.301
1;Atlanta;Santiago;553900;0.128
1;Atlanta;São;723300;0.149
1;Atlanta;Seul;1844600;0.114
1;Atlanta;Simpson;134200;0.217
1;Atlanta;Toronto;455100;0.391
1;Atlanta;Vancouver;99900;0.042
1;Atlanta;Wenecja;237600;0.056
1;Atlanta;Zurych;190500;0.026
1;Auckland;Bangkok;491300;0.052
1;Auckland;Chengdu;230200;0.062
1;Auckland;Chicago;283200;0.04
1;Auckland;Denpasar;258000;0.077
1;Auckland;Doha;669700;0.052
1;Auckland;Dubaj;1586200;0.088
1;Auckland;Honolulu;415800;0.185
1;Auckland;Houston;541700;0.087
1;Auckland;Londyn;530500;0.024
1;Auckland;Manila;172400;0.032
1;Auckland;Melbourne;971100;0.811
1;Auckland;Osaka;84400;0.014
1;Auckland;Pekin;381500;0.05
1;Auckland;Perth;295600;0.198
1;Auckland;San;1215500;0.215
1;Auckland;Seul;408200;0.038
1;Auckland;Szanghaj;900600;0.115
1;Auckland;Shenzhen;166600;0.053
1;Auckland;Singapur;1228800;0.132
1;Auckland;Sydney;1122500;0.922
1;Auckland;Tokio;532800;0.074
1;Bagdad;Ankara;54200;0.352
1;Bagdad;Baku;16000;0.109
1;Bagdad;Doha;84300;0.151
1;Bagdad;Dubaj;180400;0.184
1;Bagdad;Kair;45600;0.111
1;Bagdad;Kopenhaga;31200;0.022
1;Bagdad;Teheran;30800;0.231
1;Bahrajn;Bagdad;15300;0.063
1;Bahrajn;Baku;19100;0.044
1;Bahrajn;Bangkok;257000;0.049
1;Bahrajn;Bejrut;43300;0.065
1;Bahrajn;Casablanca;152300;0.063
1;Bahrajn;Czennaj;134300;0.124
1;Bahrajn;Kolombo;164600;0.103
1;Bahrajn;Delhi;212600;0.146
1;Bahrajn;Dhaka;120400;0.08
1;Bahrajn;Dżudda;200000;0.238
1;Bahrajn;Dubaj;271700;0.447
1;Bahrajn;Frankfurt;180900;0.038
1;Bahrajn;Hongkong;157600;0.022
1;Bahrajn;Islamabad;43900;0.075
1;Bahrajn;Stambuł;237000;0.096
1;Bahrajn;Kair;156400;0.144
1;Bahrajn;Karaczi;67500;0.148
1;Bahrajn;Chartum;31800;0.062
1;Bahrajn;Kuwejt;107600;0.462
1;Bahrajn;Larnaka;40100;0.062
1;Bahrajn;Londyn;851700;0.141
1;Bahrajn;Manila;341100;0.07
1;Bahrajn;Mumbaj;147500;0.131
1;Bahrajn;Maskat;113000;0.255
1;Bahrajn;Paryż;89300;0.017
1;Bahrajn;Rijad;84300;0.419
1;Bahrajn;Tbilisi;18200;0.039
1;Baku;Ałmaty;28900;0.09
1;Baku;Stambuł;368100;0.344
1;Baku;Kijów;72200;0.145
1;Baku;Kuwejt;23300;0.053
1;Baku;Londyn;68500;0.023
1;Baku;Mińsk;29700;0.076
1;Baku;Moskwa;111600;0.129
1;Baku;Nowy;88200;0.018
1;Baku;Pekin;67300;0.027
1;Baku;Rijad;17900;0.034
1;Baku;Petersburg;35600;0.066
1;Baku;Taszkent;24500;0.094
1;Baku;Teheran;18700;0.146
1;Baku;Tel;42600;0.066
1;Bamako;Abidżan;58100;0.962
1;Bamako;Casablanca;75300;0.258
1;Bangkok;Brisbane;205000;0.037
1;Bangkok;Brunei;44000;0.055
1;Bangkok;Bruksela;368400;0.026
1;Bangkok;Busan;660100;0.193
1;Bangkok;Cebu;34500;0.022
1;Bangkok;Chengdu;305500;0.207
1;Bangkok;Czennaj;180900;0.115
1;Bangkok;Kolombo;259000;0.114
1;Bangkok;Delhi;982300;0.269
1;Bangkok;Denpasar;184100;0.057
1;Bangkok;Dhaka;233200;0.178
1;Bangkok;Doha;1992400;0.194
1;Bangkok;Dubaj;1926700;0.141
1;Bangkok;Fukuoka;206900;0.073
1;Bangkok;Kanton;830300;0.37
1;Bangkok;Hanoi;224700;0.226
1;Bangkok;Helsinki;739300;0.073
1;Bangkok;Ho;247800;0.297
1;Bangkok;Islamabad;73800;0.036
1;Bangkok;Stambuł;893800;0.056
1;Bangkok;Karaczi;143500;0.063
1;Bangkok;Katmandu;142900;0.1
1;Bangkok;Kijów;255300;0.036
1;Bangkok;Kopenhaga;660800;0.048
1;Bangkok;Kunming;313300;0.36
1;Bangkok;Kuwejt;322300;0.046
1;Bangkok;Makau;92000;0.067
1;Bangkok;Mediolan;413600;0.032
1;Bangkok;Manila;721900;0.224
1;Bangkok;Melbourne;839800;0.115
1;Bangkok;Moskwa;903100;0.081
1;Bangkok;Mumbaj;681800;0.216
1;Bangkok;Monachium;795800;0.048
1;Bangkok;Osaka;720600;0.117
1;Bangkok;Oslo;573000;0.054
1;Bangkok;Paryż;1170100;0.051
1;Bangkok;Pekin;1001400;0.188
1;Bangkok;Perth;268200;0.082
1;Bangkok;Phnom;174400;0.457
1;Bangkok;Qingdao;63000;0.032
1;Bangkok;Rangun;171600;0.429
1;Bangkok;Rzym;286900;0.019
1;Bangkok;Sapporo;325300;0.107
1;Bangkok;Seul;2775200;0.31
1;Bangkok;Szanghaj;1412600;0.266
1;Bangkok;Shenzhen;288900;0.226
1;Bangkok;Singapur;1271200;0.369
1;Bangkok;Teheran;183900;0.042
1;Bangkok;Tel;462900;0.048
1;Bangkok;Tokio;1446600;0.174
1;Bangkok;Władywostok;43400;0.028
1;Bangkok;Xianyang;29800;0.023
1;Bangkok;Zurych;1068700;0.07
1;Bandżul;Casablanca;43900;0.192
1;Bandżul;Manchester;45200;0.067
1;Barcelona;Bejrut;37900;0.017
1;Barcelona;Belgrad;19300;0.021
1;Barcelona;Bogota;400600;0.058
1;Barcelona;Bordeaux;30300;0.129
1;Barcelona;Boston;126500;0.029
1;Barcelona;Budapeszt;148200;0.102
1;Barcelona;Buenos;536000;0.061
1;Barcelona;Bukareszt;181300;0.107
1;Barcelona;Casablanca;72300;0.074
1;Barcelona;Chicago;381200;0.055
1;Barcelona;Kiszyniów;32300;0.035
1;Barcelona;Doha;752500;0.096
1;Barcelona;Dubaj;812800;0.068
1;Barcelona;Dublin;238600;0.116
1;Barcelona;Frankfurt;307500;0.142
1;Barcelona;Genewa;122800;0.187
1;Barcelona;Glasgow;15900;0.018
1;Barcelona;Hamburg;108900;0.086
1;Barcelona;Helsinki;228900;0.082
1;Barcelona;Hongkong;292700;0.014
1;Barcelona;Stambuł;251600;0.064
1;Barcelona;Kair;57300;0.019
1;Barcelona;Kijów;159800;0.083
1;Barcelona;Kopenhaga;210100;0.09
1;Barcelona;Kraków;28800;0.026
1;Barcelona;Lima;174700;0.021
1;Barcelona;Lizbona;303800;0.242
1;Barcelona;Londyn;278900;0.111
1;Barcelona;Los;368500;0.029
1;Barcelona;Luksemburg;30800;0.058
1;Barcelona;Mediolan;190400;0.224
1;Barcelona;Malta;50800;0.063
1;Barcelona;Miami;671200;0.072
1;Barcelona;Mińsk;36000;0.03
1;Barcelona;Montreal;275500;0.052
1;Barcelona;Moskwa;447600;0.114
1;Barcelona;Nowy;1154800;0.122
1;Barcelona;Nicea;44200;0.116
1;Barcelona;Pekin;211300;0.018
1;Barcelona;Porto;169700;0.243
1;Barcelona;Praga;154700;0.113
1;Barcelona;Reykjavík;59400;0.031
1;Barcelona;Ryga;59700;0.038
1;Barcelona;Rzym;321100;0.269
1;Barcelona;San;178300;0.019
1;Barcelona;Santiago;182800;0.02
1;Barcelona;São;423400;0.052
1;Barcelona;Seul;543800;0.028
1;Barcelona;Szanghaj;225000;0.015
1;Barcelona;Sofia;75900;0.07
1;Barcelona;Petersburg;94900;0.054
1;Barcelona;Teheran;62100;0.022
1;Barcelona;Tel;354600;0.1
1;Barcelona;Toronto;387500;0.043
1;Barcelona;Tunis;18300;0.034
1;Barcelona;Wenecja;130800;0.178
1;Barcelona;Wilno;55300;0.048
1;Barcelona;Warszawa;107000;0.058
1;Barcelona;Waszyngton;223500;0.045
1;Barcelona;Wiedeń;254400;0.134
1;Barcelona;Zagrzeb;18000;0.034
1;Barcelona;Zurych;163900;0.137
1;Bejrut;Addis;148600;0.121
1;Bejrut;Bagdad;43800;0.232
1;Bejrut;Bruksela;35200;0.018
1;Bejrut;Bukareszt;17000;0.028
1;Bejrut;Casablanca;65200;0.042
1;Bejrut;Dubaj;680000;0.28
1;Bejrut;Frankfurt;237500;0.086
1;Bejrut;Genewa;51700;0.036
1;Bejrut;Stambuł;266000;0.31
1;Bejrut;Kair;75600;0.264
1;Bejrut;Kopenhaga;42800;0.022
1;Bejrut;Kuwejt;124300;0.192
1;Bejrut;Larnaka;13000;0.2
1;Bejrut;Londyn;288500;0.077
1;Bejrut;Madryt;35900;0.013
1;Bejrut;Mediolan;36500;0.024
1;Bejrut;Moskwa;41100;0.026
1;Bejrut;Paryż;454000;0.144
1;Bejrut;Rijad;187900;0.296
1;Bejrut;Rzym;124500;0.081
1;Bejrut;Teheran;21100;0.045
1;Bejrut;Tunis;23500;0.033
1;Bejrut;Erywań;14300;0.065
1;Belém;Lizbona;93500;0.168
1;Belém;Miami;54600;0.132
1;Belém;Paramaribo;14500;0.936
1;Belgrad;Bejrut;31200;0.059
1;Belgrad;Bruksela;17400;0.025
